100 percent	PERCENT
1	CARDINAL
2	CARDINAL
3	CARDINAL
1	CARDINAL
2	DATE
3 months	DATE
the first day of the month	DATE
1	CARDINAL
at least one month	DATE
March 1, 1989.	DATE
2	CARDINAL
one	CARDINAL
house	ORG
March 1, 1989	DATE
3	CARDINAL
one	CARDINAL
March 10, 1976	DATE
1	CARDINAL
1	CARDINAL
2 or 3 months	DATE
the initial 3 months	DATE
1	CARDINAL
2	CARDINAL
3	CARDINAL
2	CARDINAL
1 or more months	DATE
6 months	DATE
6 months	DATE
2	CARDINAL
3	CARDINAL
the Veterans
Service	ORG
41	CARDINAL
34256, Aug. 13, 1976	DATE
54	CARDINAL
Jan. 30, 1989	DATE
71	CARDINAL
28586	DATE
May 17, 2006	DATE
